ObjectID,district_id,state,district_name,longitude,latitude,new_student_cases,cumulative_student_cases,new_staff_cases,cumulative_staff_cases,other_new,other_cumulative,total_all,Link
934,1930540,IA,Waverly-Shell Rock Comm School District,-92.48952,42.721713,,1,,,,,1,
935,1930560,IA,Wayne Comm School District,-93.320427,40.757848,,2,,,,,2,https://www.wayne.k12.ia.us/?fbclid=IwAR2KFlTCPRLA8xVhr5LubQuigwHPcdNuqv9G08D_HHhnSWqB2f4rFoJKZVQ
936,1930630,IA,Webster City Comm School District,-93.83545,42.46794,,1,,,,,1,
937,1930870,IA,West Central Comm School District,-91.879518,42.776346,,,,1,,,1,
938,1930930,IA,West Des Moines Comm School District,-93.757442,41.56631,,34,,19,,,53,https://www.wdmcs.org/coronavirus-information/covid-19-dashboard/
135,1905430,IA,West Hancock Comm School District,-93.801215,43.096905,,1,,,,,1,
209,1931350,IA,Western Dubuque Comm School District,-91.01028,42.44011,,14,,20,,,34,http://www.wdbqschools.org/COVID-19Dashboard.aspx
211,1931470,IA,Westwood Comm School District,-96.217863,42.228863,,8,,6,,,14,https://www.wwrebels.org/vnews/display.v/SEC/COVID-19%20Information
214,1931680,IA,Williamsburg Comm School District,-92.01145,41.66073,,2,,3,,,5,http://www.williamsburg.k12.ia.us/News/WhatsNew/c_o_v_i_d-19_communication__positive_test_results
217,1931800,IA,Wilton Comm School District,-91.011263,41.594938,,2,,1,,,3,https://docs.google.com/spreadsheets/d/1svphKTFDTnjP9cWT788tjxDTgsR_gA54yuEl0zIVbQs/edit#gid=691521288
220,1931860,IA,Winterset Comm School District,-94.011555,41.33545,,1,,2,,,3,https://docs.google.com/document/d/1Y0lGlQ1-o6Odma9g1qQByJzNlOYmZ7I6n9xVc5znZHA/edit
223,1932010,IA,Woodward-Granger Comm School District,-93.824716,41.761403,,3,,1,,,4,https://covid.wghawks.school/
226,3102770,NE,ADAMS CENTRAL PUBLIC SCHOOLS,-98.459017,40.568284,,,,,,,0,
229,3102790,NE,AINSWORTH COMMUNITY SCHOOLS,-99.85591,42.546978,,,,,,,0,
232,3102880,NE,ALLEN CONSOLIDATED SCHOOLS,-96.843641,42.412789,,,,,,,0,
235,3102910,NE,ALLIANCE PUBLIC SCHOOLS,-102.868412,42.109709,,,,,,,0,
238,3100080,NE,ALMA PUBLIC SCHOOLS,-99.360916,40.102528,,,,,,,0,
241,3100070,NE,AMHERST PUBLIC SCHOOLS,-99.266089,40.838336,,,,,,,0,
244,3100010,NE,ANSELMO-MERNA PUBLIC SCHOOLS,-99.766847,41.484935,,,,,,,0,
365,3103060,NE,ANSLEY PUBLIC SCHOOLS,-99.379023,41.291381,,,,,,,0,
369,3103090,NE,ARAPAHOE PUBLIC SCHOOLS,-99.896538,40.30846,,,,,,,0,
381,3103120,NE,ARCADIA PUBLIC SCHOOLS,-99.12826,41.425404,,,,,,,0,
386,3103130,NE,ARLINGTON PUBLIC SCHOOLS,-96.359302,41.457395,,,,,,,0,
454,3100073,NE,ARNOLD PUBLIC SCHOOLS,-100.192362,41.425378,,,,,,,0,
469,3103210,NE,ARTHUR COUNTY SCHOOLS,-101.68996,41.568797,,,,,,,0,
485,3100034,NE,ASHLAND-GREENWOOD PUBLIC SCHS,-96.374363,41.045108,,,,,,,0,
489,3103330,NE,AUBURN PUBLIC SCHOOLS,-95.838734,40.38665,,,,,,,0,
495,3103360,NE,AURORA PUBLIC SCHOOLS,-98.015189,40.866466,,,,,,,0,
613,3103420,NE,AXTELL COMMUNITY SCHOOLS,-99.126634,40.480381,,,,,,,0,
661,3103440,NE,BANCROFT-ROSALIE COMM SCHOOLS,-96.572798,42.009672,,,,,,,0,
663,3100067,NE,BANNER COUNTY PUBLIC SCHOOLS,-103.744445,41.559171,,,,,,,0,
667,3103540,NE,BATTLE CREEK PUBLIC SCHOOLS,-97.60491,41.996382,,,,,,,0,
671,3100090,NE,BAYARD PUBLIC SCHOOLS,-103.318786,41.757774,,,,,,,0,
675,3103600,NE,BEATRICE PUBLIC SCHOOLS,-96.748083,40.268143,,,,,,,0,
