district_id,state,district_name,longitude,latitude,new_student_cases,cumulative_student_cases,new_staff_cases,cumulative_staff_cases,other_new,other_cumulative,Link
500019,AR,BATESVILLE SCHOOL DISTRICT,-91.646063,35.775857,,22,,25,11,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
502790,AR,BAUXITE SCHOOL DISTRICT,-92.510814,34.553877,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
502820,AR,BAY SCHOOL DISTRICT,-90.564286,35.74176,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
500032,AR,BEARDEN SCHOOL DISTRICT,-92.61711,33.726835,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
502880,AR,BEEBE SCHOOL DISTRICT,-91.896496,35.066964,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
502960,AR,BENTON SCHOOL DISTRICT,-92.57567,34.577985,,,,,7,12,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
503060,AR,BENTONVILLE SCHOOL DISTRICT,-94.21476,36.386132,,33,,9,6,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
503090,AR,BERGMAN SCHOOL DISTRICT,-93.01346,36.31259,,11,,7,7,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
503150,AR,BERRYVILLE SCHOOL DISTRICT,-93.582165,36.37499,,11,,9,11,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
503240,AR,BISMARCK SCHOOL DISTRICT,-93.175958,34.314721,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
503300,AR,BLEVINS SCHOOL DISTRICT,-93.57498,33.87064,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
503320,AR,BLYTHEVILLE SCHOOL DISTRICT,-89.906855,35.9322,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09142020_(002).pdf
